,avg_n_pos_per_prev_tenure,avg_pos_len,avg_prev_tenure_len,c_name,n_pos,n_prev_tenures,tenure_len,age,beauty,blur,emo_anger,emo_disgust,emo_fear,emo_happiness,emo_neutral,emo_sadness,emo_surprise,ethnicity,face_quality,gender,glass,head_pitch,head_roll,head_yaw,mouth_close,mouth_mask,mouth_open,mouth_other,skin_acne,skin_dark_circle,skin_health,skin_stain,smile,nationality,n_followers
8844,1,792,2069,DDB Mudra Group,1,1,792,52,54.222,0.796,0.004,0.025,0.003,99.835,0.126,0.006,0.001,White,91.416,Male,None,8.667081,-2.799383,1.770385,0.529,1.407,0,98.065,11.219,0.934,2.441,3.628,34.945,south_asian,530566
47398,1,2130,853,Apple,1,1,2130,53,45.866,1.416,0.009,0.049,0.009,94.549,0.04,0.009,5.334,Asian,85.454,Male,Normal,-0.013681722,-8.691859,8.60054,0,0,97.99,2.01,3.573,1.931,10.705,9.627,33.405,east_asian,427316
33334,1,243,1461,UserLand Software,1,1,243,39,71.752,0.032,99.982,0,0,0.016,0.001,0,0,White,81.329,Female,Normal,18.993986,-4.636102,-0.031372767,0,0,0,100,17.871,30.243,56.001,6.837,44.863,celtic_english,193694
42949,1,397,1126,TeleMinder,1,1,397,39,55.058,0.601,0,0,0,0.001,99.995,0,0.004,White,20.201,Male,None,-4.6166553,-8.375153,19.686584,96.13,0,3.868,0.001,28.49,1.188,6.22,31.641,6.992,celtic_english,82755
61697,1,212,3684,Microsoft,1,1,212,38,55.374,0.347,0,0.04,0,99.945,0,0,0.013,White,79.117,Male,None,8.723677,7.085144,-9.284973,23.337,0.001,8.952,67.709,2.596,6.073,2.404,19.162,53.112,jewish,50370
23906,2,791,1033,Microsoft,1,1,791,46,55.396,3.075,0.003,0.021,0.004,18.908,80.952,0.003,0.109,White,90.089,Male,None,9.30517,-6.917613,1.9937313,99.787,0.007,0.156,0.05,82.969,2.086,2.294,81.844,43.231,south_asian,38621
60930,1,700,2891,"Oki Data Americas, Inc.",1,1,700,54,58.479,0.354,0.001,0.224,0.085,99.687,0.001,0.001,0.001,White,90.501,Male,Normal,5.2654924,3.5523846,-4.5489273,0,0,100,0,15.554,16.678,0.449,60.074,87.169,celtic_english,32686
22836,1,1612,853,Aristocrat,1,1,1612,43,66.67,1.18,0.021,19.422,0.692,78.499,0.384,0.226,0.756,Asian,68.686,Female,None,14.209223,8.085999,-9.882611,75.49,0,24.486,0.025,1.07,2.906,9.412,2.158,73.518,hispanic,31656
34934,1,2160,1065,SANYO Logistics Corp.,1,1,2160,56,56.419,1.322,0.001,0.022,0.001,99.964,0.001,0.001,0.01,White,65.893,Male,None,3.1478496,-20.362526,13.37493,0.003,0,99.995,0.002,13.306,12.091,2.082,13.253,91.935,celtic_english,30914
28247,1,1795,1430,NGP,1,1,1795,49,56.71,10.846,0.014,31.956,0.081,27.057,40.803,0.075,0.014,White,77.229,Male,None,-5.240045,-11.800229,8.44133,100,0,0,0,2.719,21.281,8.067,3.417,74.586,celtic_english,28468
60975,1,700,577,Microsoft,1,1,700,27,82.886,0.822,0,0,0,0.06,99.755,0.185,0,White,80.826,Male,None,12.462632,10.81942,6.9849772,86.515,0.321,2.188,10.976,3.058,7.437,82.395,4.617,8.136,muslim,25131
59376,1,852,305,TCS,1,1,852,29,69.39,1.114,0,0,0,0.001,54.857,45.139,0.002,White,89.588,Male,None,2.3579075,1.3800498,-5.910862,99.999,0,0.001,0,73.742,1.836,0.908,63.302,2.199,south_asian,24567
1355,1,365,2618,CallidusCloud,1,1,365,47,39.398,2.244,1.3,0.054,0.016,94.969,0.016,3.628,0.016,White,82.292,Female,Normal,-4.4492817,-11.0709505,-8.919632,0.002,0,99.997,0.001,0.8,1.311,33.663,10.696,98.462,hispanic,23414
9576,1,182,273,Zebronics,1,1,182,38,57.429,1.109,0.038,0.042,0.017,61.96,28.691,0.017,9.236,White,28.01,Female,Normal,-2.4103627,-3.7218323,18.694328,100,0,0,0,86.406,86.867,0.201,72.378,10.974,south_asian,22159
48740,1,547,608,Antal International,1,1,547,34,64.888,59.832,0,0.002,0,99.954,0,0.043,0,White,0.006,Female,None,3.3633466,-3.4410663,-0.41624537,0,0,100,0,0.216,2.216,63.413,6.721,98.66,european,21247
28030,1,577,365,Microsoft,1,1,577,32,44.956,0.366,0.286,1.158,0.008,98.478,0.008,0.052,0.008,White,90.467,Female,None,0.55106133,1.9765468,-5.8312407,100,0,0,0,4.38,4.024,8.402,17.515,67.275,south_asian,20536
15395,1,1642,334,Stryde Consulting,1,1,1642,44,45.379,0.341,0.879,0.044,0.121,98.476,0.046,0.285,0.149,White,88.643,Female,None,-1.7611847,-9.688915,6.882283,0.001,0,99.998,0.001,21.38,2.591,9.072,4.049,85.388,south_asian,20413
33280,1,151,762,Microsoft,1,1,151,39,82.816,1.202,0.001,0.002,0.026,99.946,0.022,0.001,0.003,White,91.211,Male,None,8.846083,-0.6341856,1.747024,58.717,0.001,0.534,40.748,1.204,4.105,33.79,2.934,50.413,south_asian,20311
39535,1,92,911,BAP Global Solutions,1,1,92,45,55.039,2.506,0.016,7.959,0.056,89.633,0.24,0.186,1.91,White,92.274,Male,Normal,1.062914,2.4269621,-3.2863243,0.089,0.011,99.571,0.33,26.316,5.123,0.478,14.277,76.486,european,19155
53624,2,608,1641,Ramp Technology Group,1,1,608,50,55.428,0.055,0.007,0.036,0.007,99.854,0.007,0.058,0.032,White,4,Male,None,6.7239046,-2.5460525,23.37438,100,0,0,0,49.63,0.983,0.96,79.001,51.308,south_asian,18167
42617,1,1248,1826,Microsoft,2,1,2496,52,36.367,1.067,0.121,0.002,0.05,99.823,0.001,0.004,0.001,White,87.886,Male,Normal,8.091598,-7.561416,5.274278,0,0,100,0,0.567,43.29,4.932,3.651,95.447,celtic_english,17975
44951,1,334,1430,TAC,1,1,334,51,39.183,0.124,0,0,0,100,0,0,0,White,93.824,Female,None,4.9577622,10.186861,0.4232668,0.005,0,99.99,0.005,2.077,99.564,7.494,67.001,85.658,celtic_english,17857
