ST,STATE,OCC_TITLE,TOT_EMP,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
AL,Alabama,Computer and Information Systems Managers,"3,120",1.624,0.63,59.51,"123,790",32.07,43.41,56.24,71.68,88.92,"66,710","90,290","116,990","149,100","184,950",,
AL,Alabama,Computer and Mathematical Occupations,"39,760",20.680,0.69,39.36,"81,870",20.26,27.23,37.30,49.05,61.78,"42,150","56,630","77,590","102,020","128,500",,
AK,Alaska,Computer and Information Systems Managers,360,1.132,0.44,52.91,"110,050",37.65,43.66,51.71,60.99,72.78,"78,320","90,810","107,550","126,870","151,390",,
AK,Alaska,Computer and Mathematical Occupations,"5,450",17.124,0.57,39.34,"81,820",20.62,27.33,36.92,47.13,59.75,"42,890","56,840","76,800","98,040","124,290",,
AZ,Arizona,Computer and Information Systems Managers,"7,000",2.589,1.01,64.87,"134,930",34.48,46.89,62.12,77.06,96.85,"71,720","97,540","129,220","160,280","201,450",,
AZ,Arizona,Computer and Mathematical Occupations,"93,490",34.573,1.16,39.87,"82,940",19.44,26.97,38.25,50.51,61.91,"40,440","56,090","79,550","105,060","128,780",,
AZ,Arizona,Computer and Information Research Scientists,260,0.097,0.49,52.66,"109,530",35.02,42.91,50.21,62.30,71.88,"72,840","89,240","104,440","129,580","149,510",,
AR,Arkansas,Computer and Information Systems Managers,"2,080",1.733,0.68,53.56,"111,410",29.48,37.40,48.57,63.93,82.32,"61,310","77,790","101,020","132,980","171,230",,
AR,Arkansas,Computer and Mathematical Occupations,"23,850",19.873,0.66,32.87,"68,360",16.38,22.00,31.18,41.67,51.59,"34,060","45,750","64,850","86,670","107,310",,
AR,Arkansas,Computer and Information Research Scientists,40,0.030,0.16,46.24,"96,190",37.00,42.11,45.39,49.78,58.51,"76,960","87,590","94,410","103,540","121,700",,
CA,California,Computer and Information Systems Managers,"53,270",3.191,1.24,84.03,"174,790",47.99,61.48,77.80,97.25,#,"99,820","127,880","161,830","202,280",#,,
CA,California,Computer and Mathematical Occupations,"590,550",35.373,1.18,50.66,"105,380",24.40,34.37,48.31,63.88,79.05,"50,760","71,490","100,480","132,880","164,430",,
CA,California,Computer and Information Research Scientists,"5,750",0.345,1.76,61.80,"128,530",31.21,45.23,59.20,76.09,93.62,"64,910","94,090","123,130","158,280","194,720",,
CO,Colorado,Computer and Information Systems Managers,"7,100",2.777,1.08,77.78,"161,780",44.40,58.66,73.15,90.85,#,"92,360","122,020","152,160","188,970",#,,
CO,Colorado,Computer and Mathematical Occupations,"109,450",42.832,1.43,45.79,"95,240",24.06,32.75,44.48,57.17,69.85,"50,040","68,130","92,520","118,920","145,280",,
CO,Colorado,Computer and Information Research Scientists,410,0.159,0.81,55.96,"116,400",21.88,37.11,51.42,69.66,91.04,"45,510","77,190","106,950","144,900","189,370",,
CT,Connecticut,Computer and Information Systems Managers,"8,060",4.874,1.90,71.03,"147,740",41.85,51.25,66.11,83.41,#,"87,050","106,610","137,520","173,490",#,,
CT,Connecticut,Computer and Mathematical Occupations,"49,630",29.999,1.00,44.11,"91,740",24.29,31.73,42.47,54.60,67.40,"50,530","66,000","88,330","113,560","140,190",,
CT,Connecticut,Computer and Information Research Scientists,50,0.028,0.14,*,*,*,*,*,*,*,*,*,*,*,*,,
DE,Delaware,Computer and Information Systems Managers,"1,190",2.677,1.04,77.24,"160,670",45.94,56.99,71.44,89.71,#,"95,550","118,540","148,600","186,590",#,,
DE,Delaware,Computer and Mathematical Occupations,"17,560",39.677,1.33,44.54,"92,630",25.03,32.25,43.29,55.51,66.99,"52,070","67,070","90,040","115,460","139,350",,
DC,District of Columbia,Computer and Information Systems Managers,"4,060",5.738,2.24,78.99,"164,310",56.19,67.73,76.03,84.99,#,"116,880","140,870","158,140","176,780",#,,
